x,y
0,0
50,0
100,0
150,0
200,0
250,0
300,0
350.0000000000001,0
400,0
450,0
500,0
550,0
600,0
650,0
700.0000000000001,0
750,0
800,0
850.0000000000001,0
900,0
950,0
1000,0
1050,1
1100,1
1150,1
1200,1
1250,1
1300,1
1350,1
1400,1
1450,1
1500,1
1550,1
1600,1
1650,1
1700,1
1750,1
1800,1
1850,1
1900,1
1950,1
2000,1
2050,1
2100,1
2150,1
2200,1
2250,1
2300,1
2350,1
2400,1
2450,1
2500,1
2550,1
2600,1
2650,1
2700,1
2750,1
2800,1
2850,1
2900,1
2950,1
3000,1
3050,1
3100,1
3150,1
3200,1
3250,1
3300,1
3350,1
3400,1
3450,1
3500,1
3550,1
3600,1
3650,1
3700,1
3750,1
3800,1
3850,1
3900,1
3950,1
4000,1
4050,1
4100,1
4150,1
4200,1
4250,1
4300,1
4350,1
4400,1
4450,1
4500,1
4550,1
4600,1
4650,1
4700,1
4750,1
4800,1
4850,1
4900,1
4950,1
5000,1
